train_size,MLE,MLE_LID,TnT,Perceptron,CRF,HMM Time,HMM_LID Time,TnT Time,Perceptron Time,CRF Time
500.0,0.17289013598100583,0.793654219728038,0.7472911720267645,0.9134470105763004,0.9095618389812217,0.14878273010253906,0.1462697982788086,0.21583318710327148,4.332199573516846,3.647130012512207
500.0,0.17289013598100583,0.793654219728038,0.7472911720267645,0.9099071875674509,0.9095618389812217,0.14780974388122559,0.1686413288116455,0.20625901222229004,3.09774112701416,3.676384449005127
500.0,0.17289013598100583,0.793654219728038,0.7472911720267645,0.9136628534426937,0.9095618389812217,0.1477365493774414,0.14458250999450684,0.19878792762756348,3.319610834121704,4.7614123821258545
500.0,0.17289013598100583,0.793654219728038,0.7472911720267645,0.9133175048564645,0.9095618389812217,0.15120553970336914,0.14551281929016113,0.20709443092346191,3.0520200729370117,4.174487829208374
500.0,0.17289013598100583,0.793654219728038,0.7472911720267645,0.9125404705374487,0.9095618389812217,0.15536737442016602,0.14400124549865723,0.2131354808807373,3.1157004833221436,4.81533408164978
1000.0,0.2207209151737535,0.8347938700625944,0.7962875026980358,0.9328728685516944,0.9249298510684222,0.3017439842224121,0.2859365940093994,0.38756322860717773,7.381383419036865,10.527961730957031
1000.0,0.2207209151737535,0.8347938700625944,0.7962875026980358,0.9332613857112022,0.9249298510684222,0.3008396625518799,0.28743886947631836,0.4002964496612549,6.371837615966797,10.714271783828735
1000.0,0.2207209151737535,0.8347938700625944,0.7962875026980358,0.9339520828836607,0.9249298510684222,0.2943387031555176,0.2954556941986084,0.5048098564147949,7.423494815826416,9.83765983581543
1000.0,0.2207209151737535,0.8347938700625944,0.7962875026980358,0.9319663285128427,0.9249298510684222,0.2860534191131592,0.2903895378112793,0.398958683013916,6.273369312286377,10.672266960144043
1000.0,0.2207209151737535,0.8347938700625944,0.7962875026980358,0.9319663285128427,0.9249298510684222,0.291018009185791,0.30174684524536133,0.3923773765563965,7.5778419971466064,9.50978946685791
1500.0,0.26160155406863805,0.8594431254047054,0.827498381178502,0.9408158860349666,0.9330023742715303,0.44043755531311035,0.5967333316802979,1.1344671249389648,10.083327293395996,19.84971857070923
1500.0,0.26160155406863805,0.8594431254047054,0.827498381178502,0.9409022231815238,0.9330023742715303,0.5099070072174072,0.7334244251251221,0.9927206039428711,9.77686095237732,19.29887866973877
1500.0,0.26160155406863805,0.8594431254047054,0.827498381178502,0.9404273688754586,0.9330023742715303,0.4428410530090332,0.45799922943115234,0.57975172996521,10.797366857528687,18.028192281723022
1500.0,0.26160155406863805,0.8594431254047054,0.827498381178502,0.9413339089143103,0.9330023742715303,0.43921566009521484,0.44199323654174805,0.6942017078399658,10.432323694229126,17.927469730377197
1500.0,0.26160155406863805,0.8594431254047054,0.827498381178502,0.9412907403410318,0.9330023742715303,0.46404385566711426,0.44907188415527344,0.714730978012085,10.690007209777832,17.94632577896118
2000.0,0.30433844161450463,0.8762357004101015,0.8484783077919275,0.948845240664796,0.9391754802503777,0.6196963787078857,0.6046795845031738,0.8031880855560303,13.825408458709717,29.509119749069214
2000.0,0.30433844161450463,0.8762357004101015,0.8484783077919275,0.9478523634793871,0.9391754802503777,0.6024079322814941,0.6432530879974365,0.9261713027954102,13.791634559631348,29.570663928985596
2000.0,0.30433844161450463,0.8762357004101015,0.8484783077919275,0.9478523634793871,0.9391754802503777,1.0051515102386475,1.0476980209350586,1.1082406044006348,13.969623565673828,29.12769365310669
2000.0,0.30433844161450463,0.8762357004101015,0.8484783077919275,0.9480250377725016,0.9391754802503777,0.6215271949768066,0.6129872798919678,0.9191558361053467,13.788145542144775,29.31086254119873
2000.0,0.30433844161450463,0.8762357004101015,0.8484783077919275,0.9492337578243039,0.9391754802503777,0.6106698513031006,0.6073904037475586,0.8084349632263184,14.270811080932617,29.50271487236023
2500.0,0.33511763436218434,0.8864666522771423,0.8622922512410964,0.9529462551262681,0.9430174832721778,0.7529792785644531,0.760749340057373,0.9983820915222168,17.263822078704834,43.60024452209473
2500.0,0.33511763436218434,0.8864666522771423,0.8622922512410964,0.9536369522987266,0.9430174832721778,0.764826774597168,0.7945272922515869,1.6833109855651855,17.572017669677734,41.76740598678589
2500.0,0.33511763436218434,0.8864666522771423,0.8622922512410964,0.9531620979926614,0.9430174832721778,0.7604827880859375,0.7512843608856201,0.9998867511749268,16.708674669265747,42.47854137420654
2500.0,0.33511763436218434,0.8864666522771423,0.8622922512410964,0.9542413123246277,0.9430174832721778,0.743056058883667,0.7662675380706787,0.9979097843170166,16.900208234786987,41.75839972496033
2500.0,0.33511763436218434,0.8864666522771423,0.8622922512410964,0.9531620979926614,0.9430174832721778,0.7630515098571777,0.7478504180908203,1.5819919109344482,17.49377131462097,41.68294429779053
3000.0,0.36844377293330455,0.8984243470753291,0.875545003237643,0.9579969781998705,0.9474638463198791,1.1189959049224854,1.5254647731781006,1.6721489429473877,20.249808073043823,51.286540269851685
3000.0,0.36844377293330455,0.8984243470753291,0.875545003237643,0.9580401467731492,0.9474638463198791,0.898322582244873,0.8909542560577393,1.2044434547424316,20.829451084136963,50.23862028121948
3000.0,0.36844377293330455,0.8984243470753291,0.875545003237643,0.9584718325059357,0.9474638463198791,0.8995959758758545,0.9271390438079834,1.1733598709106445,19.84230637550354,50.595531702041626
3000.0,0.36844377293330455,0.8984243470753291,0.875545003237643,0.9592056982516728,0.9474638463198791,0.8825507164001465,0.8937132358551025,1.1925265789031982,20.92715859413147,49.99590563774109
3000.0,0.36844377293330455,0.8984243470753291,0.875545003237643,0.958558169652493,0.9474638463198791,0.905350923538208,0.9138591289520264,1.1922540664672852,20.81254744529724,50.86190366744995
